StringKey,Category,Location,Condition,FormatArgs,Korean,English,Japanese
Story_Engraver_VoidArcher_Line2,서사,각인사-공허 궁수,,,하루에 삼백을 맞혔고 만이 떨어졌다. 셈을 해 보고는 활을 내렸지.,,
Story_Engraver_VoidArcher_Line3,서사,각인사-공허 궁수,,,활은 지고 가고 시위는 두고 갔다. 지금 걸린 시위는 자네 것이니 셈도 자네 몫이지.,,
Story_Engraver_AncientShield_Line1,서사,각인사-고대 방패병,,,오르곤. 성이 아홉이던 땅의 남문을 열한 대째 지킨 집안의 마지막이다.,,
Story_Engraver_AncientShield_Line2,서사,각인사-고대 방패병,,,성이 다 빈 뒤에도 문밖에 섰지. 지킬 것이 있는지 없는지는 자기가 정할 일이 아니라면서.,,
Story_Engraver_AncientShield_Line3,서사,각인사-고대 방패병,,,방패에는 흠집이 없다. 못 막은 건지 그가 서 있어서 안 온 건지는 아무도 모르지.,,
Story_Engraver_VoidThrower_Line1,서사,각인사-심연 투척사,,,무이. 이름을 짓지 않기로 한 세계에서 왔다. 그곳에서 사람은 순서였지.,,
Story_Engraver_VoidThrower_Line2,서사,각인사-심연 투척사,,,던지는 법은 배웠고 부르는 법은 못 배웠다. 그래서 다가오는 것을 이름 없이 던졌지.,,
Story_Engraver_VoidThrower_Line3,서사,각인사-심연 투척사,,,던지기 전에 한 번 불러 보게. 부르면 손이 늦어져. 늦어진 그만큼이 사람일세.,,
Story_Engraver_Idle_Line1,서사,각인사-대기,,,새로 들어온 파편이 없군. 가져오면 이름을 찾아 주지.,,
Story_Engraver_Idle_Line2,서사,각인사-대기,,,…내 것은 아직 못 새겼다. 새기려면 끝이 있어야 하는데.,,
